HEIGHT;THETA;PHI;CENTRAL_SPEED;PERP_SPEED;AZI_SPEED 
6900000.000000;0.526144;0.500000;-8.044206;220000.000000;0.000000
6900000.000000;0.526462;0.500000;-8.142305;220000.000000;0.000000
6900000.000000;0.526781;0.500000;-8.240405;220000.000000;0.000000
6900000.000000;0.527100;0.500000;-8.338505;220000.000000;0.000000
6900000.000000;0.527419;0.500000;-8.436604;220000.000000;0.000000
6900000.000000;0.527738;0.500000;-8.534704;220000.000000;0.000000
6900000.000000;0.528057;0.500000;-8.632804;220000.000000;0.000000
6900000.000000;0.528375;0.500000;-8.730904;220000.000000;0.000000
6900000.000000;0.528694;0.500000;-8.829003;220000.000000;0.000000
6900000.000000;0.529013;0.500000;-8.927103;220000.000000;0.000000
6900000.000000;0.529332;0.500000;-9.025203;220000.000000;0.000000
6900000.000000;0.529651;0.500000;-9.123302;220000.000000;0.000000
6900000.000000;0.529970;0.500000;-9.221402;220000.000000;0.000000
6900000.000000;0.530288;0.500000;-9.319502;220000.000000;0.000000
6900000.000000;0.530607;0.500000;-9.417602;220000.000000;0.000000
6900000.000000;0.530926;0.500000;-9.515701;220000.000000;0.000000
6900000.000000;0.531245;0.500000;-9.613801;220000.000000;0.000000
6900000.000000;0.531564;0.500000;-9.711901;220000.000000;0.000000
6900000.000000;0.531883;0.500000;-9.810000;220000.000000;0.000000
6900000.000000;0.532201;0.500000;-9.908100;220000.000000;0.000000
6900000.000000;0.532520;0.500000;-10.006200;220000.000000;0.000000
6900000.000000;0.532839;0.500000;-10.104300;220000.000000;0.000000
6900000.000000;0.533158;0.500000;-10.202399;220000.000000;0.000000
6900000.000000;0.533477;0.500000;-10.300499;220000.000000;0.000000
6900000.000000;0.533795;0.500000;-10.398599;220000.000000;0.000000
6900000.000000;0.534114;0.500000;-10.496698;220000.000000;0.000000
6900000.000000;0.534433;0.500000;-10.594798;220000.000000;0.000000
6900000.000000;0.534752;0.500000;-10.692898;220000.000000;0.000000
6900000.000000;0.535071;0.500000;-10.790998;220000.000000;0.000000
6900000.000000;0.535390;0.500000;-10.889097;220000.000000;0.000000
6900000.000000;0.535708;0.500000;-10.987197;220000.000000;0.000000
6900000.000000;0.536027;0.500000;-11.085297;220000.000000;0.000000
6900000.000000;0.536346;0.500000;-11.183396;220000.000000;0.000000
6900000.000000;0.536665;0.500000;-11.281496;220000.000000;0.000000
6900000.000000;0.536984;0.500000;-11.379596;220000.000000;0.000000
6900000.000000;0.537303;0.500000;-11.477695;220000.000000;0.000000
6900000.000000;0.537621;0.500000;-11.575795;220000.000000;0.000000
6900000.000000;0.537940;0.500000;-11.673895;220000.000000;0.000000
6900000.000000;0.538259;0.500000;-11.771995;220000.000000;0.000000
6900000.000000;0.538578;0.500000;-11.870094;220000.000000;0.000000
6900000.000000;0.538897;0.500000;-11.968194;220000.000000;0.000000
6900000.000000;0.539216;0.500000;-12.066294;220000.000000;0.000000
6900000.000000;0.539534;0.500000;-12.164393;220000.000000;0.000000
6900000.000000;0.539853;0.500000;-12.262493;220000.000000;0.000000
6900000.000000;0.540172;0.500000;-12.360593;220000.000000;0.000000
6900000.000000;0.540491;0.500000;-12.458693;220000.000000;0.000000
6900000.000000;0.540810;0.500000;-12.556792;220000.000000;0.000000
6900000.000000;0.541128;0.500000;-12.654892;220000.000000;0.000000
6900000.000000;0.541447;0.500000;-12.752992;220000.000000;0.000000
6900000.000000;0.541766;0.500000;-12.851091;220000.000000;0.000000
6900000.000000;0.542085;0.500000;-12.949191;220000.000000;0.000000
6900000.000000;0.542404;0.500000;-13.047291;220000.000000;0.000000
6900000.000000;0.542723;0.500000;-13.145391;220000.000000;0.000000
6900000.000000;0.543041;0.500000;-13.243490;220000.000000;0.000000
6900000.000000;0.543360;0.500000;-13.341590;220000.000000;0.000000
6900000.000000;0.543679;0.500000;-13.439690;220000.000000;0.000000
6900000.000000;0.543998;0.500000;-13.537789;220000.000000;0.000000
6900000.000000;0.544317;0.500000;-13.635889;220000.000000;0.000000
6900000.000000;0.544636;0.500000;-13.733989;220000.000000;0.000000
6900000.000000;0.544954;0.500000;-13.832088;220000.000000;0.000000
6900000.000000;0.545273;0.500000;-13.930188;220000.000000;0.000000
6900000.000000;0.545592;0.500000;-14.028288;220000.000000;0.000000
6900000.000000;0.545911;0.500000;-14.126388;220000.000000;0.000000
6900000.000000;0.546230;0.500000;-14.224487;220000.000000;0.000000
6900000.000000;0.546548;0.500000;-14.322587;220000.000000;0.000000
6900000.000000;0.546867;0.500000;-14.420687;220000.000000;0.000000
6900000.000000;0.547186;0.500000;-14.518786;220000.000000;0.000000
6900000.000000;0.547505;0.500000;-14.616886;220000.000000;0.000000
6900000.000000;0.547824;0.500000;-14.714986;220000.000000;0.000000
6900000.000000;0.548143;0.500000;-14.813086;220000.000000;0.000000
6900000.000000;0.548461;0.500000;-14.911185;220000.000000;0.000000
6900000.000000;0.548780;0.500000;-15.009285;220000.000000;0.000000
6900000.000000;0.549099;0.500000;-15.107385;220000.000000;0.000000
6900000.000000;0.549418;0.500000;-15.205484;220000.000000;0.000000
6900000.000000;0.549737;0.500000;-15.303584;220000.000000;0.000000
6900000.000000;0.550056;0.500000;-15.401684;220000.000000;0.000000
6900000.000000;0.550374;0.500000;-15.499784;220000.000000;0.000000
6900000.000000;0.550693;0.500000;-15.597883;220000.000000;0.000000
6900000.000000;0.551012;0.500000;-15.695983;220000.000000;0.000000
6900000.000000;0.551331;0.500000;-15.794083;220000.000000;0.000000
6900000.000000;0.551650;0.500000;-15.892182;220000.000000;0.000000
6900000.000000;0.551969;0.500000;-15.990282;220000.000000;0.000000
6900000.000000;0.552287;0.500000;-16.088383;220000.000000;0.000000
6900000.000000;0.552606;0.500000;-16.186483;220000.000000;0.000000
6900000.000000;0.552925;0.500000;-16.284584;220000.000000;0.000000
6900000.000000;0.553244;0.500000;-16.382685;220000.000000;0.000000
6900000.000000;0.553563;0.500000;-16.480785;220000.000000;0.000000
6900000.000000;0.553881;0.500000;-16.578886;220000.000000;0.000000
6900000.000000;0.554200;0.500000;-16.676987;220000.000000;0.000000
6900000.000000;0.554519;0.500000;-16.775087;220000.000000;0.000000
6900000.000000;0.554838;0.500000;-16.873188;220000.000000;0.000000
6900000.000000;0.555157;0.500000;-16.971289;220000.000000;0.000000
6900000.000000;0.555476;0.500000;-17.069389;220000.000000;0.000000
6900000.000000;0.555794;0.500000;-17.167490;220000.000000;0.000000
6900000.000000;0.556113;0.500000;-17.265591;220000.000000;0.000000
6900000.000000;0.556432;0.500000;-17.363691;220000.000000;0.000000
6900000.000000;0.556751;0.500000;-17.461792;220000.000000;0.000000
6900000.000000;0.557070;0.500000;-17.559893;220000.000000;0.000000
6900000.000000;0.557389;0.500000;-17.657993;220000.000000;0.000000
6900000.000000;0.557707;0.500000;-17.756094;220000.000000;0.000000
6900000.000000;0.558026;0.500000;-17.854195;220000.000000;0.000000
6900000.000000;0.558345;0.500000;-17.952295;220000.000000;0.000000
6900000.000000;0.558664;0.500000;-18.050396;220000.000000;0.000000
6900000.000000;0.558983;0.500000;-18.148497;220000.000000;0.000000
6900000.000000;0.559301;0.500000;-18.246597;220000.000000;0.000000
6900000.000000;0.559620;0.500000;-18.344698;220000.000000;0.000000
6900000.000000;0.559939;0.500000;-18.442799;220000.000000;0.000000
6900000.000000;0.560258;0.500000;-18.540899;220000.000000;0.000000
6900000.000000;0.560577;0.500000;-18.639000;220000.000000;0.000000
6900000.000000;0.560896;0.500000;-18.737101;220000.000000;0.000000
6900000.000000;0.561214;0.500000;-18.835201;220000.000000;0.000000
6900000.000000;0.561533;0.500000;-18.933302;220000.000000;0.000000
6900000.000000;0.561852;0.500000;-19.031403;220000.000000;0.000000
6900000.000000;0.562171;0.500000;-19.129503;220000.000000;0.000000
6900000.000000;0.562490;0.500000;-19.227604;220000.000000;0.000000
6900000.000000;0.562809;0.500000;-19.325705;220000.000000;0.000000
6900000.000000;0.563127;0.500000;-19.423805;220000.000000;0.000000
6900000.000000;0.563446;0.500000;-19.521906;220000.000000;0.000000
6900000.000000;0.563765;0.500000;-19.620007;220000.000000;0.000000
6900000.000000;0.564084;0.500000;-19.718107;220000.000000;0.000000
6900000.000000;0.564403;0.500000;-19.816208;220000.000000;0.000000
6900000.000000;0.564722;0.500000;-19.914309;220000.000000;0.000000
6900000.000000;0.565040;0.500000;-20.012409;220000.000000;0.000000
6900000.000000;0.565359;0.500000;-20.110510;220000.000000;0.000000
6900000.000000;0.565678;0.500000;-20.208611;220000.000000;0.000000
6900000.000000;0.565997;0.500000;-20.306711;220000.000000;0.000000
6900000.000000;0.566316;0.500000;-20.404812;220000.000000;0.000000
6900000.000000;0.566634;0.500000;-20.502913;220000.000000;0.000000
6900000.000000;0.566953;0.500000;-20.601013;220000.000000;0.000000
6900000.000000;0.567272;0.500000;-20.699114;220000.000000;0.000000
6900000.000000;0.567591;0.500000;-20.797215;220000.000000;0.000000
6900000.000000;0.567910;0.500000;-20.895315;220000.000000;0.000000
6900000.000000;0.568229;0.500000;-20.993416;220000.000000;0.000000
6900000.000000;0.568547;0.500000;-21.091516;220000.000000;0.000000
6900000.000000;0.568866;0.500000;-21.189617;220000.000000;0.000000
6900000.000000;0.569185;0.500000;-21.287718;220000.000000;0.000000
6900000.000000;0.569504;0.500000;-21.385818;220000.000000;0.000000
6900000.000000;0.569823;0.500000;-21.483919;220000.000000;0.000000
6900000.000000;0.570142;0.500000;-21.582020;220000.000000;0.000000
6900000.000000;0.570460;0.500000;-21.680120;220000.000000;0.000000
6900000.000000;0.570779;0.500000;-21.778221;220000.000000;0.000000
6900000.000000;0.571098;0.500000;-21.876322;220000.000000;0.000000
6900000.000000;0.571417;0.500000;-21.974422;220000.000000;0.000000
6900000.000000;0.571736;0.500000;-22.072523;220000.000000;0.000000
6900000.000000;0.572055;0.500000;-22.170624;220000.000000;0.000000
6900000.000000;0.572373;0.500000;-22.268724;220000.000000;0.000000
6900000.000000;0.572692;0.500000;-22.366825;220000.000000;0.000000
6900000.000000;0.573011;0.500000;-22.464926;220000.000000;0.000000
6900000.000000;0.573330;0.500000;-22.563026;220000.000000;0.000000
6900000.000000;0.573649;0.500000;-22.661127;220000.000000;0.000000
6900000.000000;0.573967;0.500000;-22.759228;220000.000000;0.000000
6900000.000000;0.574286;0.500000;-22.857328;220000.000000;0.000000
6900000.000000;0.574605;0.500000;-22.955429;220000.000000;0.000000
6900000.000000;0.574924;0.500000;-23.053530;220000.000000;0.000000
6900000.000000;0.575243;0.500000;-23.151630;220000.000000;0.000000
6900000.000000;0.575562;0.500000;-23.249731;220000.000000;0.000000
6900000.000000;0.575880;0.500000;-23.347832;220000.000000;0.000000
6900000.000000;0.576199;0.500000;-23.445932;220000.000000;0.000000
6900000.000000;0.576518;0.500000;-23.544033;220000.000000;0.000000
6900000.000000;0.576837;0.500000;-23.642134;220000.000000;0.000000
